typ;label;conc;test
FRG;wheat (ung);12.7399998;0
MPW;milk powder & whey;35.721199;0
FRG;wheat (ung);12.0;0
SFG;sun flower seed(gr);13.8449764;0
EHH;grass silage;19.2999992;0
MPW;milk powder & whey;7.6191959;0
MPW;milk powder & whey;24.332531;0
MPW;milk powder & whey;36.5717583;0
TTS;soya meal;55.9027786;0
PEE;maize wp;11.2599993;0
FRG;wheat (ung);12.3999996;0
EHH;grass silage;25.3799992;0
CNG;corn gluten;70.8316879;0
MPW;milk powder & whey;38.2621002;0
FRG;wheat (ung);12.2600002;0
CNG;corn gluten;68.9258728;0
MPW;milk powder & whey;36.9898567;0
CLZ;rapeseed(ung);24.0100002;0
SFG;sun flower seed(gr);18.2758617;0
FRG;wheat (ung);11.3000002;0
FRG;wheat (ung);11.9399996;0
FFS;full fat soya;39.6351395;0
TTS;soya meal;54.0478935;0
PEE;maize wp;6.98;0
TTS;soya meal;51.2849159;0
PEE;maize wp;7.2800002;0
SFG;sun flower seed(gr);19.9113846;0
CNG;corn gluten;72.0280075;0
CLZ;rapeseed(ung);19.9799995;0
MPW;milk powder & whey;20.4354706;0
SFG;sun flower seed(gr);15.2621441;0
FFS;full fat soya;40.5859451;0
FRG;wheat (ung);10.46;0
FRG;wheat (ung);11.3999996;0
CLZ;rapeseed(ung);15.1700001;0
PEE;maize wp;7.0499997;0
TTS;soya meal;55.6581993;0
TTS;soya meal;54.8712196;0
SFG;sun flower seed(gr);11.6384878;0
CNG;corn gluten;67.6844177;0
MPW;milk powder & whey;23.7887001;0
CNG;corn gluten;69.1214218;0
SFG;sun flower seed(gr);11.3773212;0
EHH;grass silage;13.8599997;0
SFG;sun flower seed(gr);18.4952736;0
FFS;full fat soya;43.6707077;0
ANF;animal feed;59.8311157;0
EHH;grass silage;18.8600006;0
MPW;milk powder & whey;26.6358585;0
SFG;sun flower seed(gr);16.0953465;0
FFS;full fat soya;37.8767624;0
FFS;full fat soya;39.1930161;0
EHH;grass silage;14.8451633;0
PEE;maize wp;8.1599998;0
EHH;grass silage;14.3000002;0
ANF;animal feed;47.6010818;0
ANF;animal feed;50.4781494;0
CLZ;rapeseed(ung);20.7000008;0
FRG;wheat (ung);12.5900002;0
FRG;wheat (ung);12.3199997;0
FFS;full fat soya;41.0585175;0
PEE;maize wp;6.0707498;0
SFG;sun flower seed(gr);17.2810478;0
EHH;grass silage;8.9899998;0
EHH;grass silage;26.5;0
FFS;full fat soya;40.6651039;0
EHH;grass silage;16.9299984;0
PEE;maize wp;6.4699998;0
CNG;corn gluten;62.4107399;0
MPW;milk powder & whey;26.1164894;0
FFS;full fat soya;40.479023;0
PEE;maize wp;6.8000002;0
EHH;grass silage;16.9099998;0
MPW;milk powder & whey;37.7736816;0
EHH;grass silage;20.2199993;0
CNG;corn gluten;65.8328323;0
CLZ;rapeseed(ung);23.1700001;0
MPW;milk powder & whey;39.1379013;0
CNG;corn gluten;72.0691223;0
TTS;soya meal;51.0273972;0
SFG;sun flower seed(gr);15.7505827;0
EHH;grass silage;17.5;0
PEE;maize wp;7.1100001;0
FRG;wheat (ung);12.6283998;0
SFG;sun flower seed(gr);15.310256;0
CLZ;rapeseed(ung);23.4668941;0
PEE;maize wp;8.8699999;0
ANF;animal feed;53.7503815;0
TTS;soya meal;51.4124298;0
MPW;milk powder & whey;23.4980087;0
EHH;grass silage;26.8199997;0
SFG;sun flower seed(gr);16.7885113;0
CNG;corn gluten;69.8648605;0
EHH;grass silage;8.2799997;0
SFG;sun flower seed(gr);13.3279333;0
CLZ;rapeseed(ung);20.9599991;0
SFG;sun flower seed(gr);13.684701;0
TTS;soya meal;51.968502;0
TTS;soya meal;54.8098412;0
FFS;full fat soya;40.0101585;0
FRG;wheat (ung);12.2299995;0
EHH;grass silage;10.2299995;0
SFG;sun flower seed(gr);12.8274841;0
PEE;maize wp;5.8399997;0
PEE;maize wp;9.9199991;0
ANF;animal feed;54.2215805;0
CLZ;rapeseed(ung);19.2000008;0
CNG;corn gluten;69.2089081;0
SFG;sun flower seed(gr);13.1281052;0
EHH;grass silage;27.2999992;0
SFG;sun flower seed(gr);19.5599728;0
CNG;corn gluten;62.4312859;0
PEE;maize wp;5.5799999;0
TTS;soya meal;53.5550461;0
EHH;grass silage;18.7270145;0
MPW;milk powder & whey;14.1667233;0
MPW;milk powder & whey;38.2739792;0
FFS;full fat soya;38.6585236;0
CNG;corn gluten;72.6082458;0
SFG;sun flower seed(gr);18.2340374;0
EHH;grass silage;24.5499992;0
CNG;corn gluten;67.1863098;0
FFS;full fat soya;40.3714104;0
FFS;full fat soya;38.475708;0
MPW;milk powder & whey;38.170105;0
EHH;grass silage;16.0;0
EHH;grass silage;16.1000004;0
FFS;full fat soya;41.6589012;0
MPW;milk powder & whey;37.8566971;0
ANF;animal feed;53.627636;0
PEE;maize wp;9.7099991;0
CLZ;rapeseed(ung);16.1700001;0
TTS;soya meal;53.8121529;0
EHH;grass silage;14.5500002;0
PEE;maize wp;5.6100001;0
FFS;full fat soya;38.8586464;0
PEE;maize wp;7.1899996;0
MPW;milk powder & whey;36.7429848;0
TTS;soya meal;53.899086;0
FRG;wheat (ung);13.3999996;0
CLZ;rapeseed(ung);16.7099991;0
TTS;soya meal;53.3183327;0
PEE;maize wp;6.5402226;0
FFS;full fat soya;40.4230385;0
CLZ;rapeseed(ung);23.0599995;0
TTS;soya meal;52.3321953;0
SFG;sun flower seed(gr);18.0687504;0
PEE;maize wp;8.9899998;0
ANF;animal feed;50.1577415;0
TTS;soya meal;54.503994;0
CNG;corn gluten;73.3731461;0
MPW;milk powder & whey;11.7774782;0
ANF;animal feed;58.2128067;0
MPW;milk powder & whey;22.9628448;0
FRG;wheat (ung);17.0200005;0
PEE;maize wp;7.3400002;0
MPW;milk powder & whey;40.0379868;0
CLZ;rapeseed(ung);18.7000008;0
SFG;sun flower seed(gr);15.4861231;0
ANF;animal feed;55.2551498;0
SFG;sun flower seed(gr);11.1557026;0
CNG;corn gluten;71.8936234;0
CNG;corn gluten;71.123085;0
CLZ;rapeseed(ung);22.3400002;0
SFG;sun flower seed(gr);16.6233234;0
EHH;grass silage;20.2700005;0
EHH;grass silage;15.2795563;0
FRG;wheat (ung);9.29;0
PEE;maize wp;9.6799994;0
FRG;wheat (ung);11.717;0
FFS;full fat soya;40.5628967;0
SFG;sun flower seed(gr);17.533577;0
CLZ;rapeseed(ung);19.6800003;0
FFS;full fat soya;42.3100929;0
PEE;maize wp;8.4799995;0
ANF;animal feed;51.1583862;0
FRG;wheat (ung);12.5;0
CLZ;rapeseed(ung);14.1000004;0
PEE;maize wp;7.5599999;0
FRG;wheat (ung);11.8999996;0
FFS;full fat soya;40.0244942;0
EHH;grass silage;10.5900002;0
TTS;soya meal;52.6497688;0
ANF;animal feed;56.668602;0
ANF;animal feed;48.2523499;0
TTS;soya meal;53.9700813;0
TTS;soya meal;54.6979866;0
SFG;sun flower seed(gr);15.1116514;0
ANF;animal feed;52.0294914;0
CNG;corn gluten;64.7752304;0
FRG;wheat (ung);12.5;0
ANF;animal feed;48.6242332;0
SFG;sun flower seed(gr);16.1191902;0
TTS;soya meal;54.9132957;0
FRG;wheat (ung);12.5299997;0
CLZ;rapeseed(ung);14.4399996;0
PEE;maize wp;8.0500002;0
CLZ;rapeseed(ung);19.7099991;0
FRG;wheat (ung);10.8800001;0
CLZ;rapeseed(ung);23.8899994;0
EHH;grass silage;25.7000008;0
EHH;grass silage;19.0300007;0
EHH;grass silage;12.8199997;0
FRG;wheat (ung);12.3999996;0
ANF;animal feed;52.1385193;0
TTS;soya meal;55.3652992;0
MPW;milk powder & whey;38.4511871;0
EHH;grass silage;11.2799997;0
PEE;maize wp;6.7199998;0
ANF;animal feed;57.4571457;0
FRG;wheat (ung);15.5;0
CLZ;rapeseed(ung);20.9599991;0
CLZ;rapeseed(ung);14.81248;0
MPW;milk powder & whey;26.441431;0
FFS;full fat soya;40.1445618;0
CNG;corn gluten;66.4440918;0
CLZ;rapeseed(ung);20.8299999;0
EHH;grass silage;14.4799995;0
MPW;milk powder & whey;38.4628716;0
PEE;maize wp;4.9299998;0
FRG;wheat (ung);11.8599997;0
EHH;grass silage;20.1679993;0
CNG;corn gluten;68.1438904;0
TTS;soya meal;52.5842705;0
EHH;grass silage;17.8299999;0
ANF;animal feed;52.899437;0
CLZ;rapeseed(ung);23.75;0
FFS;full fat soya;39.5535202;0
PEE;maize wp;7.1799998;0
TTS;soya meal;53.8895187;0
CLZ;rapeseed(ung);17.5;0
TTS;soya meal;54.6605301;0
SFG;sun flower seed(gr);16.4276505;0
EHH;grass silage;15.7200003;0
CLZ;rapeseed(ung);17.7399998;0
TTS;soya meal;54.4647484;0
SFG;sun flower seed(gr);22.02812;0
SFG;sun flower seed(gr);23.427084;0
SFG;sun flower seed(gr);14.6648712;0
MPW;milk powder & whey;36.8680573;0
MPW;milk powder & whey;12.2687483;0
MPW;milk powder & whey;12.6549473;0
PEE;maize wp;6.7600002;0
CNG;corn gluten;70.6842117;0
FFS;full fat soya;40.3594627;0
EHH;grass silage;21.9199982;0
SFG;sun flower seed(gr);20.103878;0
TTS;soya meal;53.1214523;0
CLZ;rapeseed(ung);20.6599998;0
FRG;wheat (ung);12.7700005;0
FRG;wheat (ung);11.5900002;0
ANF;animal feed;52.4209557;0
FRG;wheat (ung);11.1499996;0
MPW;milk powder & whey;22.456255;0
FFS;full fat soya;39.1315842;0
CNG;corn gluten;67.7804489;0
PEE;maize wp;7.7199998;0
SFG;sun flower seed(gr);16.9214191;0
FRG;wheat (ung);11.5;0
MPW;milk powder & whey;11.4531546;0
MPW;milk powder & whey;13.146204;0
TTS;soya meal;50.960453;0
SFG;sun flower seed(gr);16.5107613;0
FRG;wheat (ung);13.6000004;0
EHH;grass silage;18.2000008;0
FRG;wheat (ung);11.2799997;0
PEE;maize wp;8.8000002;0
CLZ;rapeseed(ung);20.5799999;0
TTS;soya meal;52.8064117;0
PEE;maize wp;7.9199996;0
ANF;animal feed;56.3374138;0
FFS;full fat soya;42.2221832;0
ANF;animal feed;54.0910263;0
PEE;maize wp;5.1599998;0
EHH;grass silage;20.8099995;0
MPW;milk powder & whey;6.0490475;0
MPW;milk powder & whey;5.4126296;0
FFS;full fat soya;41.9462967;0
TTS;soya meal;53.3333321;0
CLZ;rapeseed(ung);22.3799992;0
MPW;milk powder & whey;22.1040707;0
CNG;corn gluten;69.8458786;0
SFG;sun flower seed(gr);13.5264606;0
CLZ;rapeseed(ung);22.2099991;0
SFG;sun flower seed(gr);14.4286785;0
SFG;sun flower seed(gr);12.6776142;0
EHH;grass silage;15.1000004;0
MPW;milk powder & whey;27.7998943;0
CLZ;rapeseed(ung);20.9099998;0
MPW;milk powder & whey;39.2821236;0
SFG;sun flower seed(gr);16.0929108;0
PEE;maize wp;7.27;0
FRG;wheat (ung);11.7600002;0
TTS;soya meal;56.0414276;0
TTS;soya meal;55.8926506;0
TTS;soya meal;49.6045189;0
