dm;ndf;typ;test
92.23;37.579963135639154;Legume forages;1
93.26;49.646150546858244;Legume forages;0
92.9;63.293864370290635;Forage trees;0
94.44;51.64125370605676;Cereal and grass forages;0
93.16;46.51137827393731;Legume forages;0
93.44;40.81763698630137;Legume forages;0
94.02;56.99851095511593;Cereal and grass forages;1
94.18;69.19728180080696;Cereal and grass forages;0
94.34;62.58214967140131;Cereal and grass forages;0
94.54;66.58557224455257;Cereal and grass forages;0
93.68;47.21391972672929;Cereal and grass forages;1
94.6;50.84566596194504;Cereal and grass forages;0
93.48;53.29482242190843;Cereal and grass forages;0
90.52;25.309323906319047;Forage trees;1
92.87;29.363626574781954;Legume forages;0
93.46;32.29188957842928;Legume forages;0
95.12;54.28931875525652;Cereal and grass forages;1
95.01;82.99126407746552;Cereal and grass forages;0
94.78;80.29120067524794;Cereal and grass forages;1
94.61;73.74484726773069;Cereal and grass forages;0
95.18;75.43601596974153;Cereal and grass forages;0
94.77;51.92571488867785;Legume forages;0
94.53;53.43277266476251;Legume forages;0
94.65;63.77179080824089;Legume forages;0
94.35;62.77689454160043;Legume forages;0
93.24;83.30115830115831;Cereal and grass forages;0
92.83;76.1822686631477;Cereal and grass forages;0
92.74;73.71145136941989;Cereal and grass forages;0
92.73;72.27434487220964;Cereal and grass forages;0
94.46;57.55875502858353;Legume forages;1
94.32;50.77396098388465;Legume forages;0
94.17;67.15514495062122;Legume forages;0
93.8;62.324093816631134;Legume forages;0
90.53;52.744946426598915;Forage trees;0
90.68;48.63255403617115;Legume forages;0
91.86;57.554974961898544;Legume forages;0
89.28999999999999;60.88027774666816;Forage trees;0
90.91;32.66967330326697;Forage trees;1
89.43;61.936710276193665;Forage trees;1
91.34;42.259689073790234;Forage trees;0
90.8;45.48458149779736;Forage trees;0
91.87;46.46783498421683;Forage trees;1
91.02;47.74774774774775;Forage trees;1
89.19;38.50207422356767;Forage trees;1
91.84;47.47386759581882;Legume forages;1
91.28999999999999;37.287764267718266;Forage trees;0
91.37;31.629637736675058;Forage trees;0
90.88;45.730633802816904;Forage trees;0
91.06;50.35141664836372;Legume forages;1
92.12;45.994355188884064;Forage trees;1
93.23;49.95173227501877;Forage trees;1
88.01;33.79161458925122;Forage trees;0
91.31;36.77581863979849;Forage trees;1
91.93;41.292287610138146;Forage trees;1
91.34;49.189840157652725;Forage trees;0
90.03999999999999;38.53842736561529;Forage trees;0
92.3;37.69230769230769;Forage trees;0
90.72;54.94929453262787;Forage trees;0
91.75;37.40599455040872;Forage trees;0
92.56;47.72039757994814;Legume forages;0
88.45;34.799321650650086;Forage trees;1
91.51;37.28554256365424;Forage trees;1
91.36;44.55998248686515;Forage trees;1
89.92;43.5720640569395;Forage trees;0
92.83;44.01594312183561;Legume forages;0
93.32;32.351050150021436;Forage trees;1
92.67;44.955217438221645;Forage trees;0
93.18;47.15604206911354;Forage trees;1
95.5;78.54450261780106;Cereal and grass forages;0
95.58;74.7122829043733;Cereal and grass forages;0
95.17;72.42828622465063;Cereal and grass forages;0
95.74;70.0647587215375;Cereal and grass forages;0
95.21;51.41266673668733;Legume forages;0
95.24;50.104997900042;Legume forages;0
94.89;65.27558225313521;Legume forages;0
95.42;64.21085726262838;Legume forages;1
93.07;72.86988288385086;Cereal and grass forages;1
92.71;46.5429834969259;Forage trees;0
90.26;36.993130955018835;Legume forages;0
92.26;34.359419033167136;Legume forages;1
92.67;33.009603971080175;Forage trees;0
94.48;67.1359017781541;Legume forages;0
93.03;82.77974846823606;Cereal and grass forages;0
95.59;79.18192279527148;Cereal and grass forages;0
93.79;80.84017485872693;Cereal and grass forages;0
94.07;77.21909216540874;Cereal and grass forages;1
94.03;80.7295543975327;Cereal and grass forages;0
94.05;79.25571504518874;Cereal and grass forages;0
93.48;43.61360718870347;Legume forages;0
92.56;52.36603284356093;Legume forages;1
93.15;61.4170692431562;Legume forages;1
93.54;40.08980115458627;Legume forages;1
94.82;75.23729171060958;Cereal and grass forages;0
94.01;74.09850015955749;Cereal and grass forages;0
93.53;64.97380519619374;Legume forages;0
93.22;48.59472216262605;Legume forages;0
94.12;78.35741606459838;Cereal and grass forages;0
94.38;75.42911633820725;Cereal and grass forages;0
94.02;75.12231440119123;Cereal and grass forages;1
95.2;73.91806722689076;Cereal and grass forages;0
94.47;51.64602519318302;Legume forages;1
95.15;50.415133998949024;Legume forages;0
95.31;65.16629944391984;Legume forages;0
94.21;60.58804797792167;Legume forages;0
92.06;46.66521833586791;Legume forages;0
93.5;40.53475935828877;Legume forages;0
94.39;44.04068227566479;Legume forages;0
92.63;70.30119831588038;Legume forages;1
93.2;44.72103004291846;Legume forages;1
92.54;44.218716230819105;Legume forages;1
